iy	id	it	imin	Tiair	Tsurf	Troof	Troad	Twall	Twall_n	Twall_e	Twall_s	Twall_w				
2004	44	10	50	20	2.154	2.154	2.154	2.154	2.154	2.154	2.154	2.154				
2004	44	11	0	20	2.344	2.344	2.344	2.344	2.344	2.344	2.344	2.344				
2004	44	11	10	20	2.525	2.525	2.525	2.525	2.525	2.525	2.525	2.525				
2004	44	11	20	20	2.708	2.708	2.708	2.708	2.708	2.708	2.708	2.708				
2004	44	11	30	20	2.873	2.873	2.873	2.873	2.873	2.873	2.873	2.873				
2004	44	11	40	20	3.005	3.005	3.005	3.005	3.005	3.005	3.005	3.005				
2004	44	11	50	20	3.037	3.037	3.037	3.037	3.037	3.037	3.037	3.037				
2004	44	12	0	20	3.03	3.03	3.03	3.03	3.03	3.03	3.03	3.03				
2004	44	12	10	20	2.961	2.961	2.961	2.961	2.961	2.961	2.961	2.961				
2004	44	12	20	20	2.855	2.855	2.855	2.855	2.855	2.855	2.855	2.855				
2004	44	12	30	20	2.769	2.769	2.769	2.769	2.769	2.769	2.769	2.769				
2004	44	12	40	20	2.709	2.709	2.709	2.709	2.709	2.709	2.709	2.709				
2004	44	12	50	20	2.623	2.623	2.623	2.623	2.623	2.623	2.623	2.623				
2004	44	13	0	20	2.583	2.583	2.583	2.583	2.583	2.583	2.583	2.583				
2004	44	13	10	20	2.531	2.531	2.531	2.531	2.531	2.531	2.531	2.531				
2004	44	13	20	20	2.619	2.619	2.619	2.619	2.619	2.619	2.619	2.619				
2004	44	13	30	20	2.605	2.605	2.605	2.605	2.605	2.605	2.605	2.605				
2004	44	13	40	20	2.562	2.562	2.562	2.562	2.562	2.562	2.562	2.562				
2004	44	13	50	20	2.61	2.61	2.61	2.61	2.61	2.61	2.61	2.61				
2004	44	14	0	20	2.543	2.543	2.543	2.543	2.543	2.543	2.543	2.543				
2004	44	14	10	20	2.569	2.569	2.569	2.569	2.569	2.569	2.569	2.569				
2004	44	14	20	20	2.451	2.451	2.451	2.451	2.451	2.451	2.451	2.451				
2004	44	14	30	20	2.352	2.352	2.352	2.352	2.352	2.352	2.352	2.352				
2004	44	14	40	20	2.299	2.299	2.299	2.299	2.299	2.299	2.299	2.299				
2004	44	14	50	20	2.201	2.201	2.201	2.201	2.201	2.201	2.201	2.201				
2004	44	15	0	20	2.001	2.001	2.001	2.001	2.001	2.001	2.001	2.001				
2004	44	15	10	20	1.871	1.871	1.871	1.871	1.871	1.871	1.871	1.871				
2004	44	15	20	20	1.718	1.718	1.718	1.718	1.718	1.718	1.718	1.718				
2004	44	15	30	20	1.595	1.595	1.595	1.595	1.595	1.595	1.595	1.595				
2004	44	15	40	20	1.518	1.518	1.518	1.518	1.518	1.518	1.518	1.518				
2004	44	15	50	20	1.439	1.439	1.439	1.439	1.439	1.439	1.439	1.439				
2004	44	16	0	20	1.312	1.312	1.312	1.312	1.312	1.312	1.312	1.312				
2004	44	16	10	20	1.212	1.212	1.212	1.212	1.212	1.212	1.212	1.212				
2004	44	16	20	20	1.11	1.11	1.11	1.11	1.11	1.11	1.11	1.11				
2004	44	16	30	20	1.02	1.02	1.02	1.02	1.02	1.02	1.02	1.02				
2004	44	16	40	20	0.946	0.946	0.946	0.946	0.946	0.946	0.946	0.946				
2004	44	16	50	20	0.864	0.864	0.864	0.864	0.864	0.864	0.864	0.864				
2004	44	17	0	20	0.767	0.767	0.767	0.767	0.767	0.767	0.767	0.767				
2004	44	17	10	20	0.659	0.659	0.659	0.659	0.659	0.659	0.659	0.659				
2004	44	17	20	20	0.565	0.565	0.565	0.565	0.565	0.565	0.565	0.565				
2004	44	17	30	20	0.457	0.457	0.457	0.457	0.457	0.457	0.457	0.457				
2004	44	17	40	20	0.392	0.392	0.392	0.392	0.392	0.392	0.392	0.392				
2004	44	17	50	20	0.354	0.354	0.354	0.354	0.354	0.354	0.354	0.354				
2004	44	18	0	20	0.307	0.307	0.307	0.307	0.307	0.307	0.307	0.307				
2004	44	18	10	20	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26				
2004	44	18	20	20	0.209	0.209	0.209	0.209	0.209	0.209	0.209	0.209				
2004	44	18	30	20	0.166	0.166	0.166	0.166	0.166	0.166	0.166	0.166				
